_recordId,URL,Date visited,Source Type,Name,Buildings,Drawings
recG66xA4CMsFkyde,https://www.fastepp.com/portfolio/ubc-tallwood-house-at-brock-commons-2/,2026-03-10,website,Fastepp,reccs67kxCv2yLwRV,
recOO7Vylqc5VeDva,https://www.youtube.com/watch?v=D4gEmJyEq1c,2023-03-29,video,OY Project（Port Plus）,recyvoJPe0b9sbx1G,recNNeCbPratnVnL2
recPBWTCXdakQPzum,https://design.obayashi.co.jp/oyproject/details/,2026-04-28,website,Port Plus,recyvoJPe0b9sbx1G,recDAhBQ6crACOS3S
recPOxgkO48dHsPHB,https://www.boschcapdeferro.com/_data/pdf_en/bloc6x6-ang-201-en.pdf,2023-02-15,pdf,6x6 profile sheet,recn7wUEoLSRAfIMy,rec2YHpeLDeQ4rZFs
recW0CPPouzbSSjrA,https://www.fastepp.com/wp-content/uploads/WCTE-Tallwood-House-at-Brock-Commons-Case-Study-Credit-Fast-Epp.pdf,2026-04-29,conference paper,"CASE STUDY: AN 18 STOREY TALL MASS TIMBER HYBRID STUDENT RESIDENCE AT THE UNIVERSITY OF BRITISH COLUMBIA, VANCOUVER",reccs67kxCv2yLwRV,"recyx02UbDMCUdooV,recIGwjlrHyh2jegE"
recYNd9n8uvJKdADu,https://www.fastepp.com/portfolio/fast-epp-home-office/,2026-04-09,website,Fast + Epp Home Office,rec7UjeF9x51h6anB,recDIFng3BWwjPpxG
reckfyW9Sw2GIuPPO,https://leverarchitecture.com/uploads/1022/1665011119580755/Adidas_in_the_PLAN_scans.pdf,2024-03-05,scan,Adidas in the PLAN,recp2pP8VvFDXtsh6,recKkYuM0HajCzq2o
recmv1erXo3YztvtU,https://leverarchitecture.com/projects/adidas_headquarters_expansion_and_gold_building,2025-10-07,website,adidas Headquarters Expansion and Gold Building,recp2pP8VvFDXtsh6,
rectmJfPMwTpeaows,https://www.daimoku.jp/cgi-data/johosheet/kj202406211453000244.pdf,2026-01-12,database,中大規模木造建築データベース Medium-to-Large-Scale Timber Construction Database,recyvoJPe0b9sbx1G,
recwUCHOEgaPPcw36,https://LuisOrozco.egoin/,2026-05-05,3d model,Egoin,recn7wUEoLSRAfIMy,recq8eqmevQoBwvn0
recxF60FgOJh6JERc,https://www.boschcapdeferro.com/en/work/6x6-block.html,2026-04-09,website,6x6 profile website,recn7wUEoLSRAfIMy,
