_recordId,Name,Organization,Building,Roles
recBBbD616ywCzwdK,Hermann Kaufmann + Partner ZT GmbH – https://icd.example.com/roles/architect @ Brock Commons,reciciZ50UTIEB5ad,reccs67kxCv2yLwRV,recUCf9oxrUodJnpR
recCg9b03qyTwprUE,Seagate Structures – https://icd.example.com/roles/timber-contractor @ Brock Commons,reczdErIqN8rznL2R,reccs67kxCv2yLwRV,recpyxwn6MndlO95u
recKOea6lke2BemFu,"Fast + Epp – https://icd.example.com/roles/engineer, https://icd.example.com/roles/client @ FE Home Office",recATyZy2Z0UWfxjC,rec7UjeF9x51h6anB,"recqAvtb63hgc3Ge6,recWpvLKiGdUvCm2g"
recLv4VYtK7qS4VBS,Procasa SL – https://icd.example.com/roles/developer @ 6x6,recPWecr5z9JAKng3,recn7wUEoLSRAfIMy,recTCWwLjKnyLapsG
recMyaoL2mMXihJ0q,"Obayashi Corporation. – https://icd.example.com/roles/architect, https://icd.example.com/roles/engineer @ Port Plus Obayashi Yokohama Training Center ",recHScubs4nXkxniq,recyvoJPe0b9sbx1G,"recUCf9oxrUodJnpR,recqAvtb63hgc3Ge6"
recNKGOc4ABliCyyq,University of British Columbia – https://icd.example.com/roles/client @ Brock Commons,recuA1GEEnSQLLh60,reccs67kxCv2yLwRV,recWpvLKiGdUvCm2g
recNatjTdXbWGm9oP,Structurlam – https://icd.example.com/roles/timber-supplier @ Brock Commons,recqboDHmgKo8g9T0,reccs67kxCv2yLwRV,recmopVriBaURSLsG
recR9yLi1QC6grXGH,Fast + Epp – https://icd.example.com/roles/engineer @ Brock Commons,recATyZy2Z0UWfxjC,reccs67kxCv2yLwRV,recqAvtb63hgc3Ge6
recTcB7BaFJEOKPwz,Urban One Builders – https://icd.example.com/roles/general-contractor @ Brock Commons,recShc8d0snOX118b,reccs67kxCv2yLwRV,rec4s8JxPHxnXR6Ow
recdlvZtMCwlYbOpj,Blazquez Guanter SLP – https://icd.example.com/roles/engineer @ 6x6,recA1ToRa23pBLQtz,recn7wUEoLSRAfIMy,recqAvtb63hgc3Ge6
recfp51375qn8proi,f2a architecture – https://icd.example.com/roles/architect @ FE Home Office,rec6rUtgwYlm5THmP,rec7UjeF9x51h6anB,recUCf9oxrUodJnpR
reci6W0ZSA8fUcK5I,"""Shelter Co., Ltd."" – https://icd.example.com/roles/manufacturer @ Port Plus Obayashi Yokohama Training Center ",recWqERHB0JzoVcCp,recyvoJPe0b9sbx1G,recBad166HV4q5J9S
reckLwHrjgRAacMdV,Lever Architecture – https://icd.example.com/roles/architect @ Adidas North American Headquarters GOLD,recP016WNlEOfBpHH,recp2pP8VvFDXtsh6,recUCf9oxrUodJnpR
reco69Qf0RO2pPgUH,Bosch.Capdeferro – https://icd.example.com/roles/architect @ 6x6,rec5XiMNENmHI80bk,recn7wUEoLSRAfIMy,recUCf9oxrUodJnpR
recqqg9hRlNLclOoE,Acton Ostry Architects – https://icd.example.com/roles/architect @ Brock Commons,recgzuCEvoeEA1a0c,reccs67kxCv2yLwRV,recUCf9oxrUodJnpR
rectt9G6bCyvsqgwJ,"Egoin – https://icd.example.com/roles/manufacturer, https://icd.example.com/roles/installer @ 6x6",recGpeqzgVbtTzokm,recn7wUEoLSRAfIMy,"recBad166HV4q5J9S,recmBly71EV5HyLWq"
